,id,page_name,status,header,dynamicPage,itemResultsCount,searchCount,primary_url,secondary_url,note,error_status,error_response
143,1472862,buy:dragon-rings,live,Dragon Rings,,,,/search/?buyPageVariant1=true&q=dragon+rings,/jewelry/rings/,Generated using custom generation script,SUCCESS,
144,1501022,buy:hermes-constance-bags,ended,,,,,/search/fashion/?buyPageVariant1=true&q=hermes+constance+bags,/creators/hermes/fashion/handbags-purses-bags/shoulder-bags/,Soft-delete page,SUCCESS,
145,1508192,buy:modular,scheduled,Modular,,,,/search/furniture/?buyPageVariant1=true&q=modular,nan,Dynamic buy pages endpoint: Found probable duplicates! http://internal-mario-buyer-services-1695447112.us-east-1.elb.amazonaws.com/soa/query-builder/1/dynamicBuyPage?searchTerm=modular,ERROR,"{""error"": {""type"": ""SearchTermError"", ""message"": ""The normalized search term is too short, it must contain two or more words."", ""searchTermData"": {""original"": ""modular"", ""normalized"": ""modular"", ""latinised"": ""modular""}}}"
146,1454432,buy:moissanite-studs,live,Moissanite Studs,,,,/search/?q=moissanite%20studs,nan,Generated using custom generation script,ERROR,"{""error"": {""type"": ""ZeroResultsError"", ""message"": ""There are no items for provided search term.""}}"
147,1506912,buy:statement,scheduled,Statement,,,,/search/?buyPageVariant1=true&q=statement,nan,Dynamic buy pages endpoint: Found probable duplicates! http://internal-mario-buyer-services-1695447112.us-east-1.elb.amazonaws.com/soa/query-builder/1/dynamicBuyPage?searchTerm=statement,ERROR,"{""error"": {""type"": ""SearchTermError"", ""message"": ""The normalized search term is too short, it must contain two or more words."", ""searchTermData"": {""original"": ""statement"", ""normalized"": ""statement"", ""latinised"": ""statement""}}}"
148,1453922,buy:hummel-figurines,live,Hummel Figurines,,,,/search/?buyPageVariant1=true&q=hummel+figurines,/creators/hummel/furniture/,Generated using custom generation script,SUCCESS,
149,1455972,buy:military-uniforms,live,Military Uniforms,,,,/search/furniture/?buyPageVariant1=true&q=military+uniforms,/creators/bernard-de-montfaucon/furniture/,Generated using custom generation script,SUCCESS,
150,1505892,buy:old-tiles,live,Old Tiles,,,,/search/?buyPageVariant1=true&q=old+tiles,/creators/richard-combes-1963-united-kingdom/furniture/,Dynamic buy pages endpoint: Found probable duplicates! http://internal-mario-buyer-services-1695447112.us-east-1.elb.amazonaws.com/soa/query-builder/1/dynamicBuyPage?searchTerm=old%20tiles,SUCCESS,
151,1474662,buy:tie-clips,live,Tie Clips,,,,/search/?buyPageVariant1=true&q=tie+clips,/jewelry/,Generated using custom generation script,SUCCESS,
152,1469032,buy:belt-buckles,live,Belt Buckles,,,,/search/?buyPageVariant1=true&q=belt+buckles,/fashion/accessories/belts/,Generated using custom generation script,SUCCESS,
153,1470312,buy:roy-lichtenstein-love,live,Roy Lichtenstein Love,,,,/search/art/?buyPageVariant1=true&q=roy+lichtenstein+love,/creators/roy-lichtenstein/art/,Generated using custom generation script,SUCCESS,
154,1469802,buy:kind-of-cyan,live,Kind Of Cyan,,,,/search/art/?buyPageVariant1=true&q=kind+of+cyan,/art/,Generated using custom generation script,SUCCESS,
155,1472362,buy:campaign-wash-stands,live,Campaign Wash Stands,,,,/search/furniture/?buyPageVariant1=true&q=campaign+wash+stands,/furniture/style/campaign/,Generated using custom generation script,SUCCESS,
156,1507692,buy:scale,scheduled,Scale,,,,/search/?buyPageVariant1=true&q=scale,nan,Dynamic buy pages endpoint: Found probable duplicates! http://internal-mario-buyer-services-1695447112.us-east-1.elb.amazonaws.com/soa/query-builder/1/dynamicBuyPage?searchTerm=scale,ERROR,"{""error"": {""type"": ""SearchTermError"", ""message"": ""The normalized search term is too short, it must contain two or more words."", ""searchTermData"": {""original"": ""scale"", ""normalized"": ""scale"", ""latinised"": ""scale""}}}"
157,1456492,buy:blue-and-white-platters,live,Blue And White Platters,,,,/search/furniture/?buyPageVariant1=true&q=blue+and+white+platters,/furniture/dining-entertaining/?color=blue,Generated using custom generation script,SUCCESS,
158,1469292,buy:custom-house-signs,live,Custom House Signs,,,,/search/?q=custom%20house%20signs,nan,Generated using custom generation script,ERROR,"{""error"": {""type"": ""ZeroResultsError"", ""message"": ""There are no items for provided search term.""}}"
